Title, Number_of_characters, Description, Gender, doNotUse, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
Dr. Seuss, 1, NA, NA, 1904-03-02, 1904, 1991-09-24, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Duncan Fegredo, 1, NA, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Duncan Rouleau, 4, Writer, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dupa, 1, comic artist, NA, 1945-02-12, 1945, 2000-11-08, 2000, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dustin Nguyen (artist), 2, NA, NA, NA, NA, NA, NA, NA, Vietnamese people, NA, NA, NA, NA, NA, NA, NA
Dwayne McDuffie, 14, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
D. G. Chichester, 2, Writer, NA, 1964-08-22, 1964, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dale Eaglesham, 13, NA, NA, NA, NA, NA, NA, NA, Canada, NA, NA, NA, NA, NA, NA, NA
Dale Keown, 7, NA, NA, NA, NA, NA, NA, NA, Canada, NA, NA, NA, NA, NA, NA, NA
Damion Scott, 3, Artist, NA, 1976-12-28, 1976, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Damon Albarn, 4, NA, NA, 1968-03-23, 1968, NA, NA, NA, NA, NA, NA, NA, 1988, Trip hop and World music and Britpop and Alternative rock and Alternative hip hop and Electronic music, NA, NA
Dan Abnett, 11, NA, NA, 1965-10-12, 1965, NA, NA, NA, NA, NA, NA, NA, 1988, NA, NA, NA
Dan Adkins, 2, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Dan Aykroyd, 5, NA, NA, 1952-07-01, 1952, NA, NA, NA, NA, NA, NA, NA, NA, Musical theatre and Sketch comedy and Improvisational theatre, NA, NA
Dan Brereton, 1, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dan Brown, 1, NA, NA, 1964-06-22, 1964, NA, NA, NA, Americans, NA, NA, NA, NA, NA, Angels & Demons and Digital Fortress and Deception Point and The Lost Symbol and The Da Vinci Code and Inferno (Brown novel), Amherst College
Dan DeCarlo, 5, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan DiDio, 1, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dan Fraga, 2, Americancomic book writerand artist, NA, 1973-06-19, 1973, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dan Green (artist), 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dan Jurgens, 32, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Mishkin, 7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Povenmire, 5, NA, NA, 1963-09-18, 1963, NA, NA, NA, NA, NA, NA, NA, 1987, NA, NA, University of Southern California and University of South Alabama
Dan Raspler, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Schneider (TV producer), 1, NA, NA, 1966-01-14, 1966, NA, NA, NA, NA, NA, NA, NA, 1984, NA, NA, Harvard University
Dan Slott, 27, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Spiegle, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Vado, 1, Publisher, NA, 1959-09-09, 1959, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Daniel Acuña, 3, Spanishcomic bookartist, NA, NA, NA, NA, NA, NA, Spain, NA, NA, NA, NA, NA, NA, NA
Daniel Lipman, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Daniel Way, 3, Writer, NA, 1974-12-27, 1974, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Ed Hannigan, 6, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ed McGuinness, 9, Artist, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Ed Roth, 1, NA, NA, 1932-03-04, 1932, 2001-04-04, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eddy Barrows, 2, Braziliancomic book artist, NA, NA, NA, NA, NA, NA, Brazilians, NA, NA, NA, NA, NA, NA, NA
Edgar Rice Burroughs, 18, NA, NA, 1875-09-01, 1875, 1950-03-19, NA, NA, NA, NA, NA, NA, 1911, Western (genre) and Fantasy and Adventure fiction and Lost World (genre) and Sword and planet and Planetary romance and Soft science fiction, Tarzan and Barsoom, NA
Edgar Wallace, 2, NA, NA, 1875-04-01, 1875, 1932-02-10, 1932, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edith Pargeter, 1, NA, NA, 1913-09-28, 1913, 1995-10-14, NA, NA, NA, NA, NA, NA, NA, Czech language and Non-fiction and Historical fiction and Mystery fiction, Cadfael, NA
Edmond Hamilton, 25, NA, NA, 1904-10-21, 1904, 1977-02-01, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edogawa Ranpo, 2, NA, NA, 1894-10-21, 1894, 1965-07-28, NA, NA, Japanese people, NA, NA, NA, NA, Detective fiction, NA, NA
Eduardo Barreto, 1, NA, NA, NA, NA, NA, NA, NA, Uruguayans, NA, NA, NA, NA, NA, NA, NA
Eduardo Risso, 1, NA, NA, NA, NA, NA, NA, NA, Argentines, NA, NA, NA, NA, NA, NA, NA
Edward Allen Bernero, 3, American television director producer and writer, NA, 1962-08-29, 1962, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edward Kitsis, 15, NA, NA, 1971-02-04, 1971, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edward Neumeier, 2, NA, NA, 1957-08-24, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edward Stratemeyer, 6, NA, NA, 1862-10-04, 1862, 1930-05-10, NA, NA, Americans, NA, NA, NA, NA, NA, Bomba the Jungle Boy and Tom Swift and Nancy Drew and The Hardy Boys and Book series and Bobbsey Twins and The Colonial Series and The Dana Girls and Dave_Dashaway and Don Sturdy and Jack_Ranger and Rover Boys, NA
Edwin Torres (judge), 1, NA, NA, 1931-01-07, 1931, NA, NA, NA, Puerto Rico, NA, NA, NA, NA, NA, NA, NA
Eiichiro Oda, 3, NA, NA, 1975-01-01, 1975, NA, NA, NA, NA, NA, NA, NA, 1992, NA, NA, NA
Eiji Tsuburaya, 3, NA, NA, 1901-07-07, 1901, 1970-01-25, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eleanor Updale, 1, British children's writer, NA, NA, 1953, NA, NA, NA, NA, NA, NA, NA, 2003, NA, Montmorency series, St Annes College Oxford and Queen Mary University of London
Elizabeth Gaskell, 2, NA, NA, 1810-09-29, 1810, 1865-11-12, NA, NA, NA, NA, NA, NA, 1848, NA, NA, NA
Elizabeth Hand, 1, NA, NA, 1957-03-29, 1957, NA, NA, NA, NA, NA, NA, NA, NA, Fantasy, NA, NA
Elizabeth Holloway Marston, 1, NA, NA, 1893-02-20, 1893, 1993-03-27, 1993, NA, United States, NA, NA, NA, NA, NA, NA, NA
Elliot S. Maggin, 2, NA, NA, NA, 1950, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Columbia University and Brandeis University and Postgraduate education and Undergraduate education
Elmer Wexler, 1, Cartoonist, NA, 1918-08-14, 1918, 2007-10-03, 2007, NA, NA, NA, NA, NA, NA, NA, NA, NA
Elmore Leonard, 2, NA, NA, 1925-10-11, 1925, 2013-08-20, NA, NA, NA, NA, NA, NA, NA, Crime fiction and Western fiction and Pulp magazine, NA, University of Detroit Mercy
Emilio Salgari, 1, NA, NA, 1862-08-21, 1862, 1911-04-25, NA, NA, Italians, NA, NA, NA, NA, Science fiction and Historical fiction and Adventure fiction and Western fiction, Sandokan and The Black Corsair, NA
Emily Brontë, 6, NA, NA, 1818-07-30, 1818, 1848-12-19, NA, NA, NA, NA, NA, NA, NA, NA, Wuthering Heights, NA
Emma Ríos, 2, Spanish comic book artist, NA, 1976-04-04, 1976, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Emmanuelle Arsan, 1, NA, NA, 1932-01-19, 1932, 2005-06-12, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Enid Blyton, 1, NA, NA, 1897-08-11, 1897, 1968-11-28, NA, NA, NA, NA, NA, NA, 1922, Childrens literature and Fantasy and Mystery fiction and Adventure, The Famous Five (series) and The Secret Seven and Noddy (character), NA
Eoin Colfer, 8, NA, NA, 1965-05-14, 1965, NA, NA, NA, Irish people, NA, NA, NA, 1998, Science fiction and Childrens literature and Adventure fiction, Artemis Fowl (series), NA
E.J. Altbacker, 1, American screenwriter, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA
E. C. Segar, 11, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
E. Nelson Bridwell, 19, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
E. Nesbit, 1, NA, NA, 1858-08-15, 1858, 1924-05-04, NA, NA, NA, NA, NA, NA, 1886, NA, NA, NA
Earl Derr Biggers, 1, NA, NA, 1884-08-26, 1884, 1933-04-05, NA, NA, NA, NA, NA, NA, NA, Fiction and Theatre, NA, NA
Earl Duvall, 1, Artist, NA, 1898-04-02, 1898, 1969-01-07, 1969, NA, NA, NA, NA, NA, NA, NA, NA, NA
Earl Mac Rauch, 1, Writer and screenwriter, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Dartmouth College
Ed. Weinberger, 1, American screenwriter, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ed Benedict, 1, American animator, NA, 1912-08-23, 1912, 2006-08-28, 2006, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ed Benes, 6, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ed Brubaker, 21, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eric Goldberg (animator), 2, NA, NA, 1955-05-01, 1955, NA, NA, NA, NA, NA, NA, Jews, NA, NA, NA, NA
Eric Knight, 1, NA, NA, 1897-04-10, 1897, 1943-01-15, NA, NA, NA, NA, NA, NA, 1934, NA, Lassie Come-Home and This Above All, NA
Eric Kripke, 9, American writer television director television producer, NA, 1974-04-24, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eric Larson, 2, NA, NA, 1905-09-03, 1905, 1988-10-25, 1988, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eric Luke, 2, Writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eric Powell (comics), 3, Writer, NA, 1975-03-08, 1975, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Erica Messer, 1, Television writer producer and story editor., NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Erik Balling, 2, NA, NA, 1924-11-29, 1924, 2005-11-19, 2005, NA, NA, NA, NA, NA, 1952, NA, NA, NA
Erik Larsen, 20, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Ernest Hart, 1, English footballer, NA, 1902-01-03, 1902, 1954-07-21, 1954, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ernest Tidyman, 1, NA, NA, 1928-01-01, 1928, 1984-07-14, NA, NA, NA, NA, NA, NA, NA, NA, The French Connection (film) and Shaft (novel), NA
Ernie Chan, 5, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ernie Colón, 3, NA, NA, NA, NA, NA, NA, NA, Puerto Ricans, NA, NA, NA, NA, NA, NA, NA
Ernie Hart, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Esad Ribić, 1, Comic book artist, NA, 1972-11-10, 1972, NA, NA, NA, Croats, NA, NA, NA, NA, NA, NA, NA
Ethan Van Sciver, 11, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Francine Pascal, 2, NA, NA, 1938-05-13, 1938, NA, NA, NA, NA, NA, NA, NA, NA, NA, Sweet Valley High, New York University
Francis Durbridge, 1, NA, NA, 1912-11-25, 1912, 1998-04-11, 1998, NA, NA, NA, NA, NA, 1933, NA, NA, University of Birmingham
Francis Ford Coppola, 1, NA, NA, 1939-04-07, 1939, NA, NA, NA, NA, NA, NA, NA, 1962, NA, NA, Hofstra University and UCLA School of Theater Film and Television
Francis Manapul, 1, Artist, NA, NA, NA, NA, NA, NA, Filipino Canadians, NA, NA, NA, NA, NA, NA, NA
Francisco Coching, 1, Comics artist, NA, 1919-01-29, 1919, 1998-09-01, 1998, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Borth, 1, Americancomic book artist, NA, 1918-04-01, 1918, 2009-08-09, 2009, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Frank Brunner, 5, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Frank Darabont, 3, NA, NA, 1959-01-28, 1959, NA, NA, NA, NA, NA, NA, NA, 1981, NA, NA, NA
Frank Frazetta, 1, NA, NA, 1928-02-09, 1928, 2010-05-10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Giacoia, 6, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frank Hampson, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Herbert, 24, NA, NA, 1920-10-08, 1920, 1986-02-11, NA, NA, NA, NA, NA, NA, 1945, NA, NA, NA
Frank Lupo, 4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank McLaughlin (artist), 5, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frank Miller (comics), 27, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Oz, 2, NA, NA, 1944-05-25, 1944, NA, NA, NA, NA, NA, NA, NA, 1960, NA, NA, Laney College
Frank Quitely, 11, NA, NA, NA, NA, NA, NA, NA, Scottish people, NA, NA, NA, NA, NA, NA, NA
Frank Robbins, 20, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Frank S. Pepper, 2, Writer, NA, 1910-02-08, 1910, 1988-12-11, 1988, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Springer, 6, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Frank Tashlin, 2, NA, NA, 1913-02-19, 1913, 1972-05-05, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Thomas (animator), 3, NA, NA, 1912-09-05, 1912, 2004-09-08, 2004, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Thomas (comics), 1, Cartoonist, NA, NA, 1914, NA, 1968, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frank Tieri (writer), 11, Writer, NA, 1970-12-01, 1970, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frazer Irving, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fred Guardineer, 4, Illustrator, NA, 1913-10-03, 1913, 2002-09-13, 2002, NA, United States, NA, NA, NA, NA, NA, NA, NA
Fred Kida, 4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fred Moore (animator), 1, NA, NA, 1911-09-07, 1911, 1952-11-23, 1952, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fred Van Lente, 4, Writer, NA, 1972-02-14, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Freddie Williams II, 1, American comic book artist, NA, 1977-05-30, 1977, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frederick Forsyth, 1, NA, NA, 1938-08-25, 1938, NA, NA, NA, NA, NA, NA, NA, 1969, Crime fiction and Thriller (genre), The Day of the Jackal, NA
Frederick Kohner, 3, NA, NA, 1905-09-25, 1905, 1986-07-07, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Fritz Lang, 1, NA, NA, 1890-12-05, 1890, 1976-08-02, 1976, NA, NA, NA, NA, NA, 1919, NA, NA, NA
Fritz Leiber, 1, NA, NA, 1910-12-24, 1910, 1992-09-05, NA, NA, NA, NA, NA, NA, 1934, Horror fiction and Science fiction and Fantasy, Fafhrd and the Gray Mouser, NA
Friz Freleng, 11, NA, NA, 1906-08-21, 1906, 1995-05-26, 1995, NA, NA, NA, NA, Judaism, 1927, NA, NA, NA
Fujiko Fujio, 2, NA, NA, 1933-12-01 and 1934-03-10, 1933, 1996-09-23, 1996, NA, NA, NA, NA, NA, 1951, NA, NA, NA
F. Scott Fitzgerald, 2, NA, NA, 1896-09-24, 1896, 1940-12-21, NA, NA, NA, NA, NA, NA, 1920, NA, NA, NA
Fabian Nicieza, 53, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Farooq Qaiser, 1, Pakistani artist writer and actor, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Felix Salten, 2, NA, NA, 1869-09-06, 1869, 1945-10-08, NA, NA, NA, NA, NA, NA, NA, NA, Bambi a Life in the Woods and Bambis Children, NA
Fernando Pasarin, 1, Artist, NA, NA, NA, NA, NA, NA, Spain, NA, NA, NA, NA, NA, NA, NA
Fiona Avery, 1, NA, NA, 1974-09-13, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fletcher Hanks, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Flip Wilson, 1, NA, NA, 1933-12-08, 1933, 1998-11-25, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Floyd Gottfredson, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Foz Allan, 1, British writer and producer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fran Striker, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fran Walsh, 1, NA, NA, 1959-01-10, 1959, NA, NA, NA, NA, NA, NA, NA, 1983, NA, NA, NA
France Herron, 7, Comics writer, NA, NA, 1918, NA, 1966, NA, United States, NA, NA, NA, NA, NA, NA, NA
Francesca Simon, 3, NA, NA, 1955-02-23, 1955, NA, NA, NA, NA, NA, NA, NA, NA, Children's literature, Horrid Henry, NA
Gary David Goldberg, 1, NA, NA, 1944-06-25, 1944, 2013-06-22, 2013, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary Frank, 12, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary Friedrich, 15, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary K. Wolf, 2, NA, NA, 1941-01-24, 1941, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary Scott Thompson, 1, American television producer, NA, 1959-10-07, 1959, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gaston Leroux, 4, NA, NA, 1868-05-06, 1868, 1927-04-15, NA, NA, France, NA, NA, NA, NA, NA, The Phantom of the Opera, NA
Gen Urobuchi, 2, NA, NA, 1972-12-20, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA, Saya no Uta and Fate/Zero and Psycho-Pass and Kamen Rider Gaim and Puella Magi Madoka Magica, NA
Gene Colan, 54, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Gene Day, 2, NA, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Gene Ha, 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Gene L. Coon, 1, NA, NA, 1924-01-07, 1924, 1973-07-08, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gene Roddenberry, 1, NA, NA, 1921-08-19, 1921, 1991-10-24, 1991, NA, NA, NA, NA, NA, NA, NA, NA, Los Angeles City College
Genndy Tartakovsky, 1, NA, NA, 1970-01-17, 1970, NA, NA, NA, NA, NA, NA, NA, 1991, NA, NA, NA
Geof Isherwood, 2, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Geoff Johns, 73, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Geoff Senior, 2, NA, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Geoffrey of Monmouth, 1, NA, NA, NA, 1100, NA, 1155, NA, NA, NA, NA, Catholic Church, NA, NA, NA, NA
George Baker (cartoonist), 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
George Brenner, 3, American cartoonist, NA, NA, 1913, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Clayton Johnson, 1, NA, NA, 1929-07-10, 1929, 2015-12-25, NA, NA, NA, NA, NA, NA, NA, NA, The Twilight Zone and Oceans 11 and Logans Run and Star Trek, NA
George Eliot, 1, NA, NA, 1819-11-22, 1819, 1880-12-22, NA, NA, NA, NA, NA, NA, NA, NA, Middlemarch and Daniel Deronda and The Mill on the Floss and Silas Marner, NA
George Evans (cartoonist), 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Gladir, 2, Writer, NA, 1925-09-27, 1925, 2013-04-03, 2013, NA, United States, NA, NA, NA, NA, NA, NA, NA
George Kapitan, 2, Comic-book writer, NA, 1919-07-23, 1919, 1996-11-27, 1996, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Kashdan, 1, Americancomic book writerand editor, NA, 1928-05-17, 1928, 2006-06-03, 2006, NA, Americans, NA, NA, NA, NA, NA, NA, NA
George Klein (comics), 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Lucas, 31, NA, NA, 1944-05-14, 1944, NA, NA, NA, NA, NA, NA, NA, 1965, NA, NA, NA
George Mandel, 1, American writer, NA, 1920-02-11, 1920, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Miller (director), 2, NA, NA, 1945-03-03, 1945, NA, NA, Greeks, NA, NA, NA, NA, 1970, NA, NA, University of New South Wales
George Orwell, 4, NA, NA, 1903-06-25, 1903, 1950-01-21, NA, NA, NA, NA, NA, NA, NA, Dystopia and Roman à clef, NA, Eton College
George Papp, 15, Artist, NA, 1916-01-20, 1916, 1989-08-08, 1989, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Pelecanos, 1, NA, NA, 1957-02-18, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Pérez, 66, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George R. R. Martin, 31, NA, NA, 1948-09-20, 1948, NA, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Science fiction and Fantasy, A Song of Ice and Fire, NA
George Tuska, 22, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George W. Trendle, 3, American writer, NA, 1884-07-04, 1884, 1972-05-10, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA
Georges Simenon, 1, NA, NA, 1903-02-13, 1903, 1989-09-04, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gerard Jones, 14, NA, NA, 1957-07-10, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gerry Anderson, 17, NA, NA, 1929-04-14, 1929, 2012-12-26, 2012, NA, NA, NA, NA, NA, 1957, NA, NA, NA
Gerry Conway, 77, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gerry Duggan, 1, Australian actor, NA, NA, 1910, 1992-03-27, 1992, NA, NA, NA, NA, NA, 1959, NA, NA, NA
Gian Luigi Bonelli, 1, Writer, NA, 1908-12-22, 1908, 2001-01-12, 2001, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gil Kane, 36, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gilbert Lawford Dalton, 1, Writer, NA, NA, 1904, NA, 1963, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Gilda Radner, 2, NA, NA, 1946-06-28, 1946, 1989-05-20, 1989, NA, NA, NA, NA, NA, 1973, NA, NA, University of Michigan
Gina Riley, 3, NA, NA, 1961-05-06, 1961, NA, NA, NA, NA, NA, NA, NA, 1984, NA, NA, NA
G. Willow Wilson, 1, American comic writer, NA, 1982-08-31, 1982, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gabriel Morrissette, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gail Simone, 26, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Gale Anne Hurd, 1, NA, NA, 1955-10-25, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gallieno Ferri, 2, Artist, NA, 1929-03-21, 1929, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Garci Rodríguez de Montalvo, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Chivalric romance and Fiction, NA, NA
Gardner Fox, 74, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gareth Edwards (director), 1, British film director, NA, NA, 1975, NA, NA, NA, NA, NA, NA, NA, 2002, NA, NA, NA
Garry Marshall, 9, NA, NA, 1934-11-13, 1934, NA, NA, NA, NA, NA, NA, NA, 1959, NA, NA, Northwestern University
Garth Ennis, 14, NA, NA, NA, NA, NA, NA, NA, People of Northern Ireland, NA, NA, NA, NA, NA, NA, NA
Garth Ranzz, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary Carlson, 4, Comic creator, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Gary Cohn (comics), 4, Writer, NA, 1952-01-25, 1952, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Glen A. Larson, 2, NA, NA, 1937-01-03, 1937, 2014-11-14, 2014, NA, NA, NA, NA, The Church of Jesus Christ of Latter-day Saints, NA, NA, NA, NA
Glen Keane, 2, NA, NA, 1954-04-13, 1954, NA, NA, NA, NA, NA, NA, NA, 1973, NA, NA, NA
Glen Mazzara, 2, NA, NA, 1967-07-06, 1967, NA, NA, NA, United States, NA, NA, NA, 1998, NA, NA, NA
Glen Morgan, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Glen and Les Charles, 3, NA, NA, 1943-02-18, 1943, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Glenn Chandler, 3, British writer, NA, 1949-03-12, 1949, NA, NA, NA, NA, NA, NA, NA, NA, Crime fiction, Taggart, NA
Glenn Dakin, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
